# {"t_start": 1562269505.1530094, "env_id": "Breakout-ramNoFrameskip-v4"} 
r,l,t
3.0,261,3.096303
1.0,178,4.235551
3.0,240,5.807032
0.0,149,6.743954
1.0,190,7.954123
3.0,247,9.487061
2.0,237,10.966576
5.0,360,13.210891
0.0,147,14.132785
3.0,251,15.795354
0.0,134,16.603781
1.0,189,17.783569
0.0,139,18.672072
1.0,166,19.676296
1.0,184,20.819062
9.0,453,23.604943
4.0,302,25.469638
0.0,174,26.540825
6.0,417,29.12476
3.0,228,30.545542
1.0,184,31.705106
0.0,145,32.580117
3.0,256,34.149029
1.0,177,35.2274
0.0,167,36.270519
1.0,198,37.486861
4.0,286,39.254839
10.0,451,41.95818
1.0,162,42.954534
4.0,279,44.647008
1.0,179,45.72698
3.0,237,47.189114
5.0,344,49.291306
8.0,458,52.124532
0.0,131,52.974918
4.0,278,54.662939
5.0,355,56.8741
0.0,135,57.718427
2.0,223,59.093856
9.0,405,61.51532
4.0,305,63.348773
1.0,161,64.316026
5.0,328,66.284358
1.0,159,67.24456
1.0,161,68.207571
5.0,307,70.065176
15.0,442,72.735388
1.0,174,73.751934
6.0,371,76.019686
4.0,263,77.597302
11.0,599,81.153199
7.0,405,83.57037
4.0,301,85.385884
10.0,593,88.92515
7.0,449,91.593516
6.0,306,93.429199
21.0,688,97.455831
8.0,443,100.049089
14.0,499,102.984777
3.0,252,104.478824
11.0,528,107.598077
12.0,426,110.120207
5.0,293,111.870198
6.0,376,114.070617
5.0,348,116.130104
5.0,320,118.039686
10.0,451,120.68021
4.0,297,122.456855
6.0,347,124.542583
7.0,405,126.894679
8.0,282,128.567865
9.0,443,131.188884
5.0,340,133.258731
12.0,528,136.456081
0.0,129,137.228482
14.0,497,140.161881
10.0,489,143.033489
13.0,446,145.67075
6.0,384,147.937622
7.0,385,150.171235
11.0,557,153.501388
9.0,353,155.589424
8.0,428,158.100626
16.0,591,161.615918
15.0,400,163.975494
4.0,300,165.730538
15.0,599,169.236962
5.0,345,171.277071
8.0,420,173.738682
7.0,357,175.849681
5.0,298,177.630684
6.0,354,179.739721
5.0,276,181.332339
6.0,358,183.470084
6.0,334,185.437926
7.0,382,187.670332
16.0,633,191.37943
8.0,488,194.265547
18.0,489,197.120883
16.0,572,200.473592
8.0,427,202.967291
13.0,652,206.781298
23.0,671,210.683982
8.0,449,213.34596
11.0,467,216.086315
30.0,867,221.195386
3.0,274,222.780967
16.0,485,225.612633
21.0,623,229.280457
17.0,714,233.455092
14.0,567,236.766692
16.0,578,240.14085
4.0,251,241.587693
17.0,769,246.067095
8.0,405,248.42289
6.0,369,250.610255
6.0,291,252.328435
12.0,539,255.473454
