# {"t_start": 1562244067.1019845, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,158,2.952871
6.0,277,5.759034
5.0,327,9.125344
0.0,129,10.425397
2.0,205,12.518357
0.0,129,13.794811
0.0,127,15.022419
1.0,157,16.57742
2.0,183,18.371246
1.0,157,19.983079
0.0,129,21.226716
1.0,174,22.953252
1.0,174,24.740005
1.0,173,26.473469
0.0,123,27.657909
1.0,176,29.46739
0.0,127,30.706798
0.0,123,31.922765
1.0,152,33.387955
0.0,129,34.646598
0.0,129,35.930891
0.0,125,37.130115
2.0,184,38.948737
0.0,127,40.196934
1.0,170,41.952793
1.0,155,43.429521
0.0,127,44.728107
1.0,173,46.544745
2.0,204,48.585351
8.0,374,52.481378
10.0,433,56.894693
4.0,297,59.872671
4.0,299,62.990889
1.0,171,64.621951
2.0,204,66.661092
6.0,382,70.493403
1.0,157,72.028837
0.0,127,73.219233
2.0,222,75.420455
0.0,127,76.634603
9.0,404,80.750747
8.0,470,85.563998
5.0,346,89.035764
0.0,129,90.227289
5.0,325,93.512283
0.0,127,94.759205
9.0,404,98.92633
3.0,269,101.673781
0.0,127,102.877956
0.0,129,104.097342
0.0,125,105.289455
0.0,125,106.507273
2.0,187,108.342451
0.0,129,109.592295
0.0,127,110.815957
3.0,228,113.025118
1.0,157,114.554836
2.0,202,116.515788
0.0,127,117.658223
11.0,500,122.714754
2.0,202,124.666022
4.0,299,127.600657
3.0,234,129.858987
0.0,129,131.064363
1.0,157,132.563802
2.0,206,134.516052
11.0,482,139.284611
5.0,336,142.615097
2.0,185,144.389085
3.0,218,146.526622
3.0,253,148.918381
4.0,242,151.240568
9.0,344,154.614453
0.0,127,155.740683
4.0,277,158.431002
3.0,232,160.659528
3.0,275,163.318493
15.0,499,168.217793
11.0,457,172.659979
10.0,470,177.233629
8.0,439,181.419657
7.0,434,185.602664
7.0,370,189.120498
5.0,329,192.188765
5.0,292,194.946174
10.0,506,199.821374
11.0,405,203.751042
27.0,868,212.099209
10.0,426,216.179096
12.0,422,220.196653
8.0,482,224.737559
18.0,685,231.25482
15.0,705,237.955767
11.0,407,241.818268
4.0,283,244.639179
8.0,414,248.623623
21.0,622,254.644159
25.0,683,261.102448
17.0,656,267.292428
21.0,793,274.848941
23.0,719,281.643736
35.0,1114,292.248935
10.0,517,297.123802
11.0,439,301.300187
18.0,630,307.251354
24.0,758,314.465276
38.0,754,321.55397
33.0,862,329.726803
10.0,504,334.391852
32.0,1075,344.598816
27.0,729,351.477042
15.0,699,358.036293
36.0,1142,368.792618
35.0,915,377.546445
