# {"t_start": 1561551522.6797671, "env_id": "Catcher-v0"} 
r,l,t
-5.0,64,5.969151
-6.0,37,9.396471
-6.0,37,12.742649
-5.0,71,19.276993
-5.0,66,25.208394
-6.0,46,29.447272
-5.0,63,35.15921
-5.0,70,41.505639
-5.0,76,48.412807
-6.0,44,52.402096
-6.0,41,56.081721
-6.0,33,59.038719
-6.0,46,63.303368
-6.0,46,67.640832
-6.0,35,70.822778
-5.0,77,77.788947
-6.0,39,81.360385
-3.0,127,92.735284
-6.0,42,96.42783
-6.0,41,100.33691
-6.0,41,103.989323
-6.0,33,106.932821
-6.0,33,109.940438
-6.0,42,113.687524
-6.0,46,118.039319
-6.0,35,121.386964
