# {"t_start": 1562175104.0941896, "env_id": "Catcher-v0"} 
r,l,t
-5.0,69,5.11769
-6.0,46,7.322857
-6.0,41,9.014702
-6.0,39,10.684457
-6.0,42,12.469628
-5.0,78,15.70252
-5.0,75,18.782795
-3.0,128,24.002728
-4.0,121,28.904861
-2.0,169,35.871429
-5.0,66,38.624809
-4.0,107,43.129178
-6.0,46,45.065116
-4.0,110,49.706095
-4.0,101,53.790449
-3.0,122,58.83868
0.0,239,68.950374
-2.0,173,76.492799
15.0,727,106.452381
-5.0,65,109.042608
20.0,864,148.634015
-2.0,158,155.167544
11.0,575,177.751738
-6.0,44,179.535151
-6.0,37,181.063456
16.0,747,210.390483
43.0,1548,272.063327
4.0,367,286.539203
26.0,1061,328.415977
94.0,2785,439.221707
47.0,1619,504.668969
27.0,1099,550.028147
92.0,2703,659.875486
84.0,2684,772.242834
46.0,1574,834.847721
64.0,2129,922.208593
150.0,3906,1078.647573
53.0,1840,1152.241887
83.0,2548,1253.876052
-6.0,37,1255.391468
150.0,3891,1410.733834
189.0,4496,1589.30577
107.0,3108,1713.567945
