# {"t_start": 1562159624.514503, "env_id": "Catcher-v0"} 
r,l,t
-5.0,77,2.875266
-4.0,110,3.707142
-6.0,39,4.002783
-3.0,122,4.923882
-5.0,81,5.553734
-6.0,39,5.865328
-6.0,44,6.223891
-5.0,72,6.742984
-2.0,177,8.049864
-3.0,124,8.923571
-1.0,196,10.37218
-5.0,82,11.029642
-4.0,102,11.743554
-5.0,73,12.274114
-4.0,99,13.013718
3.0,353,15.492878
-6.0,42,15.797647
5.0,412,18.779744
43.0,1438,28.496036
7.0,452,31.561397
121.0,2870,50.463745
159.0,3332,72.343528
51.0,1555,82.591652
86.0,2261,97.548781
93.0,2364,113.10593
72.0,2005,126.93063
1.0,248,128.661038
16.0,724,133.584862
52.0,1587,145.036415
6.0,426,147.916273
4.0,352,150.378917
57.0,1710,162.509197
4.0,363,165.037235
16.0,706,169.680559
50.0,1561,180.127592
11.0,557,183.833868
66.0,1866,196.283275
84.0,2193,211.08813
38.0,1286,219.854014
24.0,934,225.91612
95.0,2417,242.99609
127.0,2856,279.531716
202.0,3887,327.432711
57.0,1689,346.681402
161.0,3342,389.790434
144.0,3081,424.60684
126.0,2881,444.787427
124.0,2901,476.931095
140.0,3129,519.069251
141.0,3045,558.370073
104.0,2532,592.722054
136.0,3010,620.07428
121.0,2795,638.28007
104.0,2537,654.817948
190.0,3677,679.553906
168.0,3421,716.196934
96.0,2379,750.094119
163.0,3450,795.320089
135.0,3094,835.52134
150.0,3226,876.930052
146.0,3168,919.14856
192.0,3763,968.854203
173.0,3497,1015.155693
171.0,3540,1060.945922
190.0,3712,1110.059803
85.0,2196,1138.314461
185.0,3656,1187.938696
144.0,3166,1229.126506
168.0,3491,1275.532494
188.0,3669,1323.35887
135.0,3028,1363.940846
180.0,3607,1411.289767
200.0,3875,1463.199828
197.0,3816,1513.00071
120.0,2791,1549.680649
140.0,3067,1590.24381
165.0,3406,1634.89095
152.0,3274,1677.322882
168.0,3451,1722.846682
155.0,3317,1767.4228
170.0,3473,1813.557404
144.0,3160,1854.120505
150.0,3247,1896.672148
135.0,2999,1935.042743
159.0,3326,1978.769406
138.0,3052,2017.56289
128.0,2888,2055.876298
139.0,3057,2096.651171
170.0,3487,2142.430467
171.0,3491,2188.717759
