# {"t_start": 1562174262.5775356, "env_id": "Catcher-v0"} 
r,l,t
-6.0,39,2.625322
-4.0,101,3.429496
-6.0,46,3.816221
-3.0,141,4.963351
-6.0,46,5.309475
-6.0,37,5.615639
-6.0,42,5.9173
-4.0,99,6.728751
-5.0,79,7.311504
-6.0,41,7.625629
-5.0,63,8.077658
-6.0,33,8.327807
-5.0,72,8.832714
3.0,331,11.251731
-5.0,74,11.807573
-5.0,66,12.273281
-5.0,62,12.737499
-3.0,137,13.735098
-6.0,41,14.0558
3.0,331,16.366344
-6.0,46,16.699432
8.0,504,20.299489
-3.0,144,21.388097
-2.0,181,22.620038
-4.0,111,23.39678
14.0,698,28.284414
8.0,511,31.796986
2.0,316,33.894862
64.0,2161,48.387811
55.0,1888,61.010521
-1.0,215,62.438744
61.0,2015,75.975283
49.0,1728,87.557878
122.0,3419,110.462026
35.0,1338,119.402581
56.0,1902,132.137216
20.0,895,138.069151
44.0,1604,148.776876
114.0,3196,170.146319
111.0,3166,191.385882
102.0,2985,211.388567
136.0,3594,235.422977
141.0,3694,260.132521
198.0,4692,291.536154
1.0,282,293.431753
