# {"t_start": 1562175457.958495, "env_id": "citycopter-v0"} 
r,l,t
-5.0,10,3.348539
-5.0,8,4.081108
-5.0,8,4.808886
-5.0,10,5.664099
-5.0,7,6.220913
-4.0,14,7.281698
-5.0,10,8.073649
-5.0,11,8.921041
-5.0,10,9.517738
-4.0,14,10.659333
0.0,43,13.638069
-2.0,29,15.631089
-2.0,28,17.414591
-1.0,35,19.618836
-4.0,16,20.604
0.0,46,23.445662
-5.0,9,24.005526
-3.0,19,25.2202
-3.0,23,26.780615
-3.0,24,28.170791
0.0,45,30.978323
8.0,94,36.748151
0.0,43,39.451634
-1.0,36,41.653712
0.0,44,44.365202
-4.0,16,45.217269
-1.0,39,47.657221
-1.0,37,49.905815
-4.0,18,51.074189
0.0,43,53.972211
-2.0,32,63.083653
-2.0,28,67.602384
0.0,45,73.114166
1.0,50,78.389338
-3.0,26,81.096973
0.0,45,85.48509
0.0,44,89.570375
-2.0,28,92.107825
3.0,61,96.969259
0.0,45,100.548795
8.0,98,107.796129
-2.0,29,109.877198
-4.0,16,111.025169
-1.0,41,114.06105
-2.0,31,116.196466
0.0,44,119.170326
8.0,95,125.616446
8.0,97,131.935755
-1.0,34,134.22557
0.0,45,137.078516
-2.0,31,138.867058
0.0,46,141.669876
0.0,43,144.264432
0.0,44,146.73359
24.0,201,158.465936
0.0,43,160.956597
81.0,556,193.025276
29.0,233,206.389461
2.0,53,209.568096
8.0,99,215.421355
56.0,398,239.028073
32.0,252,253.99433
170.0,1112,318.744555
31.0,247,333.392673
129.0,853,383.302974
124.0,822,431.477607
18.0,156,440.593771
578.0,3637,655.321966
206.0,1334,734.683523
26.0,207,746.807802
116.0,768,791.467683
90.0,602,827.120455
65.0,455,853.207827
7.0,92,858.983955
0.0,45,861.689332
379.0,2400,1002.052854
370.0,2340,1141.976432
-5.0,11,1142.874919
3.0,58,1146.337237
0.0,45,1149.374658
197.0,1270,1223.912612
0.0,43,1226.631403
80.0,550,1258.337208
139.0,908,1312.226825
0.0,46,1315.12935
233.0,1483,1403.420914
24.0,202,1415.423282
270.0,1715,1516.085671
2.0,51,1519.22743
143.0,928,1573.002715
196.0,1265,1646.370201
223.0,1425,1729.908144
205.0,1321,1807.280057
116.0,766,1852.500091
42.0,305,1870.490321
116.0,765,1914.838566
114.0,758,1958.968289
512.0,3217,2145.078328
469.0,2952,2316.848479
246.0,1573,2407.955024
44.0,311,2426.214881
172.0,1124,2491.944045
