# {"t_start": 1562171286.1184068, "env_id": "citycopter-v0"} 
r,l,t
-5.0,9,2.757378
-5.0,8,3.200878
-5.0,7,3.53615
-5.0,6,3.853345
-5.0,9,4.365017
-3.0,25,5.475465
-5.0,6,5.77144
-5.0,11,6.267668
-5.0,7,6.63116
-2.0,33,8.04705
-5.0,6,8.379502
-4.0,14,8.950091
-4.0,17,9.660143
-3.0,21,10.517825
-5.0,10,10.968127
-5.0,6,11.224963
-4.0,17,11.943827
-5.0,4,12.055192
-3.0,22,13.026499
-3.0,21,13.816432
-5.0,4,13.948873
0.0,43,15.580958
-4.0,18,16.191221
-5.0,8,16.473941
-5.0,6,16.688214
-4.0,14,17.19896
-1.0,36,18.427526
-4.0,14,18.941221
-2.0,27,19.797429
-1.0,34,20.953562
2.0,52,22.594182
-4.0,18,23.223386
-1.0,35,24.486782
-4.0,17,25.078239
-2.0,27,25.963439
-2.0,32,27.048427
-3.0,25,27.777051
0.0,44,29.1199
0.0,46,30.549818
-1.0,39,31.823629
-2.0,32,32.86216
0.0,44,34.127209
-2.0,33,35.04836
-1.0,39,36.225072
-1.0,38,37.282084
-1.0,37,38.42034
-1.0,37,39.628848
-3.0,25,40.463099
0.0,43,41.680942
1.0,49,43.060684
-2.0,32,44.00085
0.0,45,45.354715
0.0,46,46.597171
0.0,45,47.772348
0.0,48,49.167636
0.0,46,50.529343
-3.0,23,51.150895
6.0,85,53.390993
0.0,46,54.662362
8.0,98,57.292101
5.0,74,59.146914
13.0,124,62.338099
8.0,95,64.612671
-3.0,25,65.293494
10.0,106,68.040285
34.0,265,74.459806
0.0,44,75.546747
15.0,145,79.406684
32.0,254,96.495274
16.0,153,102.815082
0.0,46,104.648542
23.0,198,111.433446
24.0,203,117.825152
0.0,46,119.300819
99.0,659,138.023552
18.0,159,142.264794
32.0,256,148.86738
181.0,1166,176.623304
305.0,1946,221.424342
392.0,2483,281.050259
411.0,2590,344.793898
1220.0,7617,533.158334
342.0,2171,587.495591
1612.0,10000,837.030383
258.0,1647,878.427546
215.0,1383,911.8837
1611.0,10000,1162.553283
262.0,1678,1204.122206
582.0,3664,1295.335887
896.0,5607,1434.403317
498.0,3125,1512.48941
712.0,4460,1623.660646
18.0,158,1627.508559
637.0,3987,1726.906518
192.0,1232,1757.63744
826.0,5158,1885.228398
305.0,1937,1933.417253
321.0,2037,1983.942328
108.0,714,2002.070172
1080.0,6739,2168.645827
242.0,1543,2206.753549
207.0,1328,2239.88983
66.0,463,2251.389166
59.0,407,2261.476202
389.0,2460,2321.884618
222.0,1425,2357.4793
208.0,1335,2390.333762
323.0,2047,2440.750217
216.0,1389,2475.032886
26.0,209,2480.538737
876.0,5474,2616.362967
472.0,2968,2689.958382
