# {"t_start": 1561978471.17005, "env_id": "colorswitch-v0"} 
r,l,t
-6.0,72,6.007728
-5.0,40,8.108711
-5.0,40,10.219347
-5.0,40,12.3836
-5.0,39,14.418071
-5.0,40,16.517467
-5.0,39,18.57312
-5.0,39,20.671873
-5.0,40,22.767358
-5.0,40,24.93386
-5.0,40,27.02708
-5.0,41,29.219284
9.0,65,32.664156
-5.0,40,34.782817
9.0,66,38.249687
9.0,74,42.201172
-5.0,45,44.556085
-5.0,42,46.764909
-5.0,45,49.17994
-5.0,41,51.315593
-5.0,41,53.601525
-5.0,42,55.859185
-5.0,40,57.982701
-5.0,41,60.142277
-5.0,43,62.413353
-5.0,40,64.507714
-5.0,41,66.848916
-5.0,44,69.152568
9.0,72,72.995576
-5.0,44,75.292556
9.0,70,78.94921
-5.0,40,81.086437
-5.0,41,83.263258
-5.0,40,85.394693
-5.0,42,87.590922
9.0,66,91.030874
9.0,67,94.578465
-5.0,43,96.856295
-5.0,40,98.983494
9.0,67,102.525068
-5.0,41,104.67352
9.0,68,108.295806
-5.0,42,110.533136
-5.0,40,112.664507
-5.0,40,114.755524
-5.0,40,116.87695
-5.0,43,119.137188
-5.0,40,121.259938
9.0,66,124.747052
-5.0,42,126.912509
-5.0,41,129.04724
9.0,66,132.512263
-5.0,40,134.611141
-5.0,43,136.919501
9.0,67,140.469375
-5.0,41,142.602013
-5.0,41,144.782591
-5.0,42,146.988435
-5.0,41,149.132478
-5.0,42,151.346245
-5.0,45,153.696408
-5.0,40,155.819302
-5.0,40,157.912469
-5.0,41,160.111309
-5.0,41,162.229105
-5.0,44,164.565884
9.0,68,168.164857
9.0,67,171.685521
-5.0,43,173.944449
-5.0,40,176.071976
-5.0,40,178.184007
-5.0,43,180.469088
-5.0,40,182.593544
-5.0,40,184.684284
-5.0,40,186.788634
-5.0,40,188.950223
9.0,65,192.397812
-5.0,40,194.480955
-5.0,40,196.58743
-5.0,40,198.677939
-5.0,40,200.809407
-5.0,41,203.226448
-5.0,41,205.429651
9.0,65,208.826586
-5.0,41,211.039612
-5.0,40,213.15445
-5.0,40,215.288223
-5.0,40,217.401809
-5.0,41,219.546655
-5.0,41,221.708403
9.0,66,225.219486
-5.0,41,227.360058
-5.0,45,229.747185
-5.0,40,232.001205
9.0,66,235.606162
-5.0,41,237.839453
-5.0,40,239.961732
-5.0,41,242.164104
-5.0,41,244.294602
-5.0,43,246.569857
-5.0,41,248.76906
-5.0,42,251.005649
-5.0,43,253.267727
-5.0,41,255.434088
-5.0,41,257.627841
9.0,69,261.313257
-5.0,42,263.522707
9.0,67,267.01953
-5.0,42,269.270925
-5.0,42,271.631215
-5.0,43,274.039768
-5.0,43,276.37078
9.0,67,279.931942
9.0,69,283.540204
-5.0,43,285.833999
-5.0,42,288.069614
-5.0,40,290.22171
-5.0,41,292.528391
-5.0,42,294.83614
-5.0,42,297.15002
-5.0,46,299.603624
9.0,67,303.219846
-5.0,41,305.405474
9.0,69,309.07594
9.0,68,312.661654
9.0,66,316.170839
-5.0,41,318.32251
-5.0,41,320.546324
-5.0,42,322.777401
-5.0,40,324.884324
9.0,66,328.559944
-5.0,40,330.761449
-5.0,40,332.936609
-5.0,41,335.099024
-5.0,40,337.271168
-5.0,43,339.589893
-5.0,40,341.900649
-5.0,40,344.236754
-5.0,45,346.98349
-5.0,42,349.315306
-5.0,40,351.480007
9.0,66,355.250876
-5.0,41,357.484752
9.0,65,361.188822
-5.0,40,363.448097
9.0,65,367.179832
-5.0,41,369.429304
-5.0,40,371.569063
-5.0,41,373.799164
-5.0,43,376.113861
9.0,67,379.723603
-5.0,40,381.871453
-5.0,41,384.046008
-5.0,40,386.224884
-5.0,41,388.46154
-5.0,41,390.859029
9.0,66,394.410439
-5.0,41,396.569183
-5.0,41,398.736908
9.0,66,402.428535
9.0,67,406.754938
9.0,72,410.973984
-5.0,41,413.172344
-5.0,41,415.43561
-5.0,41,417.779421
-5.0,41,420.083776
-5.0,41,422.327416
-5.0,43,424.759071
-5.0,42,427.149481
-5.0,41,429.58646
-5.0,41,431.961887
-5.0,41,434.220095
-5.0,40,436.383511
-5.0,42,438.66117
-5.0,40,440.902878
-5.0,41,443.139923
-5.0,40,445.323056
-5.0,41,447.693323
9.0,66,451.536188
-5.0,40,453.740291
-5.0,40,455.994916
-5.0,41,458.449655
-5.0,40,461.059567
-5.0,40,463.516293
-5.0,40,465.937555
-5.0,42,468.34006
-5.0,40,470.598575
9.0,65,474.151517
-5.0,41,476.374749
-5.0,40,478.476367
9.0,66,482.151454
-5.0,40,484.406574
-5.0,41,486.725331
9.0,68,490.468422
-5.0,40,492.686153
-5.0,41,494.950427
9.0,66,498.648165
-5.0,41,501.199431
-5.0,41,503.620353
-5.0,42,505.960798
-5.0,41,508.248522
9.0,68,512.403414
-5.0,41,514.678409
-5.0,40,516.911173
-5.0,40,519.049312
9.0,65,522.478587
-5.0,41,524.625994
-5.0,40,526.772469
9.0,65,530.282039
-5.0,42,532.585881
-5.0,41,534.858435
-5.0,42,537.119908
-5.0,42,539.374187
-5.0,44,541.839004
9.0,66,545.589808
-5.0,41,547.908179
-5.0,40,550.2486
-5.0,41,552.583202
-5.0,40,554.911856
9.0,66,558.882683
9.0,66,562.462521
-5.0,44,564.98931
-5.0,43,567.407376
-5.0,41,569.750224
-5.0,40,572.100344
-5.0,41,574.801492
-5.0,40,577.630058
9.0,67,581.800024
-5.0,40,584.040419
9.0,65,587.993421
9.0,65,592.19889
-5.0,41,594.662603
-5.0,41,597.047628
-5.0,40,599.537629
-5.0,42,601.866057
9.0,66,605.606391
-5.0,41,608.244971
9.0,69,612.098949
-5.0,41,614.431317
-5.0,43,616.832808
-5.0,41,619.468846
-5.0,40,622.23207
-5.0,41,624.870155
9.0,67,628.997779
-5.0,41,631.459757
-5.0,41,634.060951
9.0,69,638.52888
-5.0,41,641.166263
9.0,65,645.091991
-5.0,40,647.340554
-5.0,40,649.662089
-5.0,41,651.930288
-5.0,41,654.119844
9.0,66,657.832454
9.0,66,661.626209
-5.0,42,664.108517
-5.0,40,666.575796
-5.0,41,668.814193
-5.0,40,671.06146
-5.0,43,673.390897
9.0,66,677.276277
-5.0,41,679.73438
-5.0,41,682.059363
-5.0,41,684.384737
9.0,66,688.041425
-5.0,41,690.243613
-5.0,43,692.800242
9.0,65,696.807713
-5.0,40,699.33288
-5.0,40,701.505187
-5.0,40,703.701268
-5.0,42,705.993655
-5.0,40,708.126205
9.0,65,711.618492
-5.0,40,713.747809
-5.0,40,715.969155
-5.0,41,718.247665
-5.0,41,720.502247
-5.0,40,722.697603
-5.0,41,724.898
-5.0,40,727.085263
-5.0,40,729.173509
-5.0,44,731.47602
-5.0,42,733.677615
-5.0,41,735.862741
-5.0,40,738.015922
-5.0,41,740.160558
9.0,66,743.700505
-5.0,41,745.921782
-5.0,43,748.279232
-5.0,43,750.622486
9.0,65,754.128805
9.0,66,757.59763
-5.0,41,759.77942
-5.0,40,761.917347
-5.0,40,764.046299
-5.0,42,766.236865
-5.0,44,768.612745
-5.0,41,770.848848
-5.0,40,773.097977
-5.0,43,775.485445
-5.0,40,777.660908
-5.0,41,779.873122
-5.0,40,782.05233
-5.0,41,784.27861
-5.0,41,786.461132
-5.0,41,788.675648
9.0,66,792.214865
-5.0,41,794.50932
9.0,68,798.405413
9.0,66,802.13818
9.0,67,805.79449
9.0,66,809.474278
9.0,67,813.253864
-5.0,42,815.543197
-5.0,40,817.844762
9.0,66,821.711008
-5.0,40,824.298052
-5.0,40,826.772719
9.0,66,830.829574
9.0,65,835.141513
9.0,65,839.28912
-5.0,40,841.664905
9.0,64,845.68754
-5.0,40,848.001346
9.0,65,851.458455
-5.0,41,853.759028
9.0,66,857.564942
-5.0,40,859.753241
-5.0,40,861.934294
-5.0,40,864.224981
-5.0,40,866.862417
-5.0,40,869.365897
-5.0,40,871.661372
-5.0,40,874.077936
9.0,65,877.790111
-5.0,40,880.212068
-5.0,42,882.676922
-5.0,42,885.070405
-5.0,40,887.854269
-5.0,41,890.588871
-5.0,41,893.224142
9.0,66,897.124232
-5.0,41,899.463549
-5.0,41,901.832441
9.0,68,905.843573
9.0,71,910.142667
9.0,68,914.930544
9.0,66,918.922957
-5.0,45,921.637529
-5.0,41,924.011258
9.0,72,928.867158
-5.0,40,931.426356
-5.0,40,933.958019
-5.0,42,936.407374
-5.0,41,938.716358
-5.0,40,940.870258
-5.0,41,943.198804
-5.0,40,945.470545
-5.0,40,947.926222
-5.0,42,950.389332
9.0,66,954.429959
-5.0,42,956.842851
-5.0,41,959.331456
-5.0,41,961.865407
-5.0,41,964.245992
-5.0,42,966.642112
9.0,70,970.755683
-5.0,42,973.108962
-5.0,42,975.63314
-5.0,40,978.186979
-5.0,40,980.846786
-5.0,41,983.723683
-5.0,41,986.504071
9.0,66,990.921001
-5.0,42,993.64193
-5.0,41,996.208641
9.0,65,1000.456926
-5.0,41,1003.029087
-5.0,44,1005.751556
-5.0,41,1008.067791
-5.0,42,1010.534845
-5.0,40,1012.981396
-5.0,43,1015.386914
-5.0,42,1017.766459
-5.0,41,1020.107449
9.0,65,1023.869451
-5.0,40,1026.205526
-5.0,42,1028.631517
9.0,66,1032.513664
-5.0,41,1034.841455
9.0,65,1038.720039
-5.0,41,1041.359852
9.0,67,1045.568745
-5.0,41,1048.120605
-5.0,41,1050.607304
-5.0,41,1053.011364
-5.0,40,1055.323558
-5.0,40,1057.510473
-5.0,40,1059.852985
9.0,68,1063.745277
-5.0,41,1065.919002
-5.0,46,1068.499372
-5.0,41,1070.926478
9.0,68,1075.038348
-5.0,50,1077.911629
9.0,73,1082.128592
-5.0,42,1084.597252
9.0,70,1088.537294
-5.0,46,1091.112204
-5.0,44,1093.543435
-5.0,42,1095.937649
9.0,68,1099.762441
9.0,68,1103.498153
-5.0,47,1106.012569
9.0,67,1109.700221
-5.0,44,1112.232824
-5.0,41,1114.61123
-5.0,43,1116.940344
-5.0,59,1120.184915
-5.0,43,1122.600713
-5.0,49,1125.339208
-5.0,42,1127.735301
9.0,69,1131.551087
9.0,67,1135.677063
-5.0,41,1138.175994
-5.0,40,1140.705259
9.0,66,1144.565481
-5.0,41,1146.976525
-5.0,43,1149.480764
-5.0,43,1152.178459
9.0,66,1156.333847
9.0,65,1160.08194
-5.0,41,1162.575752
-5.0,43,1165.236155
-5.0,41,1167.495646
-5.0,40,1169.687881
-5.0,42,1172.16467
-5.0,40,1174.637911
-5.0,41,1177.125399
-5.0,41,1179.477745
-5.0,40,1181.770842
-5.0,40,1184.167957
-5.0,41,1186.764575
-5.0,41,1189.463159
-5.0,40,1191.932672
-5.0,42,1194.296792
9.0,67,1198.374895
-5.0,42,1201.03571
9.0,66,1204.604365
-5.0,43,1206.978991
-5.0,42,1209.429187
-5.0,40,1211.576803
9.0,67,1215.213505
-5.0,42,1217.531875
-5.0,42,1219.86137
-5.0,41,1222.071885
-5.0,42,1224.360658
-5.0,41,1226.663419
-5.0,44,1229.034591
9.0,68,1232.72377
-5.0,42,1235.063775
-5.0,43,1237.570658
-5.0,43,1240.009847
9.0,66,1243.629936
9.0,66,1247.24682
-5.0,41,1249.622732
-5.0,41,1252.068623
9.0,66,1255.989324
-5.0,42,1258.62725
-5.0,41,1261.172938
9.0,66,1265.241653
-5.0,41,1267.877077
-5.0,42,1270.250129
-5.0,42,1272.50499
-5.0,41,1274.759673
9.0,66,1278.510032
-5.0,40,1281.000201
9.0,65,1284.896269
-5.0,41,1287.592655
-5.0,41,1290.141805
-5.0,42,1292.854154
-5.0,41,1295.392458
-5.0,42,1297.761064
-5.0,41,1300.053672
-5.0,41,1302.389096
-5.0,42,1304.726035
-5.0,41,1307.047379
9.0,67,1311.189036
-5.0,43,1313.667696
-5.0,40,1315.94447
-5.0,42,1318.469059
-5.0,43,1321.14138
-5.0,40,1323.558367
-5.0,41,1326.074481
