# {"t_start": 1561894077.307926, "env_id": "pixelcopter-v0"} 
r,l,t
-5.0,5,2.257912
-4.0,12,2.369722
-5.0,6,2.406589
-5.0,6,2.44297
-4.0,10,2.508765
-2.0,24,2.663123
-1.0,30,2.843164
-2.0,24,2.993479
-1.0,29,3.167955
11.0,103,3.784753
1.0,43,4.047303
7.0,76,4.5045
2.0,53,4.823
9.0,87,5.347251
2.0,51,5.64832
15.0,117,6.36238
13.0,110,7.008162
5.0,67,7.406361
6.0,75,7.861863
5.0,69,8.265834
18.0,143,9.125633
19.0,152,10.028346
4.0,63,10.393807
2.0,49,10.680038
27.0,195,11.851226
2.0,50,12.152932
28.0,198,13.330911
47.0,312,15.175164
7.0,82,15.663007
4.0,60,16.007533
8.0,83,16.503312
2.0,53,16.823592
2.0,53,17.126753
12.0,105,17.750869
4.0,65,18.126732
9.0,85,18.634604
17.0,136,19.439122
19.0,144,20.276288
17.0,130,21.03153
14.0,117,21.739985
3.0,52,22.03794
11.0,99,22.633189
6.0,75,23.060612
27.0,191,24.164033
14.0,121,24.882184
14.0,121,25.602659
30.0,211,26.86645
67.0,416,29.318016
7.0,82,29.789773
94.0,580,33.198495
15.0,126,33.935594
11.0,103,34.526977
89.0,539,37.692073
5.0,61,38.073174
25.0,183,39.149146
4.0,65,39.531108
39.0,256,41.029544
16.0,134,41.830586
17.0,135,42.616688
6.0,74,43.04269
37.0,251,44.551095
9.0,85,45.041901
19.0,153,45.921656
26.0,185,47.048784
1.0,45,47.322241
46.0,298,49.061817
5.0,68,49.463848
18.0,145,50.359639
30.0,211,51.606569
104.0,633,55.373278
172.0,1018,61.529903
1.0,46,61.813666
36.0,237,63.226733
27.0,191,64.3323
9.0,86,64.837841
3.0,58,65.174489
44.0,296,66.907812
11.0,97,67.541603
45.0,289,69.450172
12.0,105,70.082182
6.0,66,70.489771
-2.0,24,70.640165
47.0,309,72.59713
27.0,193,73.705503
32.0,220,75.192714
8.0,80,75.654202
51.0,326,77.734534
70.0,438,80.440384
11.0,102,81.056852
6.0,78,81.499314
67.0,419,84.001237
9.0,86,84.488402
147.0,876,89.683744
18.0,145,90.585461
2.0,49,90.886815
50.0,321,92.874435
7.0,84,93.403672
67.0,424,96.032331
30.0,211,97.336549
18.0,142,98.208067
9.0,86,98.758272
6.0,74,99.213388
15.0,123,99.969017
75.0,465,102.88597
32.0,220,104.237794
29.0,203,105.493781
4.0,60,105.862267
6.0,68,106.267997
10.0,93,106.845015
65.0,407,109.349327
17.0,135,110.174211
28.0,195,111.376125
68.0,430,114.07058
27.0,186,115.216767
100.0,604,118.930511
29.0,199,120.164004
4.0,64,120.55897
35.0,238,122.034405
22.0,165,123.083747
31.0,216,124.41955
4.0,65,124.812984
25.0,181,125.929431
6.0,74,126.387424
5.0,69,126.801751
54.0,345,128.92608
19.0,149,129.853151
32.0,221,131.217821
98.0,588,135.032382
19.0,151,136.005122
6.0,75,136.504257
14.0,116,137.312014
101.0,606,141.159173
141.0,837,146.407695
41.0,276,148.102986
16.0,129,148.940953
5.0,66,149.34821
29.0,205,150.608863
55.0,347,152.754848
88.0,540,156.067875
30.0,214,157.430948
44.0,290,159.22181
2.0,50,159.531277
6.0,78,159.99839
26.0,186,161.151778
41.0,273,162.840487
4.0,60,163.205622
46.0,306,165.08293
31.0,220,166.427257
26.0,189,167.625172
11.0,99,168.228128
-2.0,24,168.371467
54.0,344,170.485448
6.0,73,170.95195
98.0,593,174.675124
43.0,290,176.493571
30.0,209,177.793489
15.0,123,178.560747
16.0,131,179.380966
55.0,353,181.547978
78.0,483,184.530911
110.0,662,188.66836
16.0,130,189.483024
130.0,774,194.287347
197.0,1152,201.459411
46.0,302,203.308451
187.0,1104,210.159559
41.0,268,211.807874
6.0,67,212.209716
14.0,120,212.960603
65.0,408,215.466361
26.0,184,216.613135
41.0,271,218.289224
19.0,152,219.216729
58.0,371,221.545006
6.0,68,221.97639
59.0,369,224.330408
89.0,550,227.706184
31.0,219,229.066833
18.0,143,229.983086
17.0,140,230.844824
15.0,126,231.621699
42.0,274,233.344078
32.0,217,234.690709
70.0,440,237.382813
64.0,401,239.89657
44.0,289,241.714025
31.0,214,243.057589
92.0,561,246.549984
-3.0,20,246.672196
50.0,324,248.677688
60.0,369,250.944852
18.0,145,251.84482
52.0,333,253.925313
40.0,261,255.528957
49.0,315,257.467276
32.0,216,258.798459
103.0,618,262.593703
87.0,534,265.89322
11.0,103,266.559008
39.0,261,268.181385
15.0,122,268.964589
33.0,230,270.395012
29.0,205,271.672588
14.0,121,272.411947
63.0,396,274.895561
31.0,216,276.257092
26.0,187,277.43666
100.0,607,281.212795
98.0,595,284.946819
81.0,506,288.172818
52.0,333,290.515124
21.0,158,291.523741
7.0,82,292.033368
109.0,659,296.112987
19.0,145,297.002162
17.0,131,297.866718
16.0,132,298.697091
48.0,310,300.659767
52.0,332,302.886926
54.0,344,305.167012
4.0,61,305.563548
35.0,238,307.05914
55.0,355,309.261689
21.0,156,310.234812
15.0,124,311.01254
4.0,65,311.430741
-2.0,24,311.573535
11.0,98,312.192544
15.0,118,312.925421
36.0,246,314.457005
33.0,227,315.909893
28.0,202,317.228657
64.0,402,319.733398
4.0,61,320.14205
16.0,132,321.039576
3.0,56,321.407602
14.0,120,322.205342
2.0,49,322.501425
29.0,197,323.750046
4.0,65,324.151143
15.0,126,324.909817
59.0,374,327.125373
55.0,349,329.142276
170.0,1005,335.387614
46.0,302,337.260385
36.0,242,338.757408
18.0,138,339.604763
52.0,334,341.594785
195.0,1147,348.268057
20.0,154,349.167571
352.0,2037,361.336883
59.0,371,363.58516
166.0,977,369.311965
16.0,134,370.079602
5.0,61,370.446952
122.0,734,375.064577
3.0,54,375.403789
26.0,187,376.560303
29.0,206,377.858648
5.0,68,378.285591
-2.0,24,378.440423
-3.0,18,378.544362
4.0,61,378.92311
20.0,149,379.843257
12.0,106,380.481405
40.0,266,382.067462
63.0,396,384.347769
43.0,288,386.004872
64.0,396,388.394038
28.0,199,389.561355
18.0,135,390.339435
4.0,63,390.710941
156.0,921,396.358782
51.0,328,398.242231
77.0,481,401.201183
2.0,49,401.515471
18.0,145,402.378263
9.0,87,402.973828
51.0,328,405.095668
70.0,434,408.94433
57.0,368,413.346569
2.0,52,414.038615
144.0,862,425.051666
12.0,108,426.35793
0.0,39,426.809903
28.0,200,429.52048
85.0,523,437.10354
30.0,211,439.843503
198.0,1163,455.662538
42.0,284,459.627098
43.0,284,463.313041
98.0,599,472.91275
68.0,428,479.835725
29.0,207,482.892289
73.0,453,489.654572
125.0,749,494.866571
50.0,320,496.992965
7.0,73,497.560819
32.0,224,499.021337
31.0,221,500.33904
8.0,83,500.832666
40.0,271,502.421619
13.0,105,503.026347
15.0,124,503.746645
77.0,478,506.592093
69.0,432,509.411473
12.0,104,510.109754
51.0,327,512.399074
17.0,139,513.264111
63.0,395,515.607578
40.0,271,517.301838
14.0,117,518.020592
26.0,185,519.196325
33.0,222,520.521261
73.0,453,523.202633
96.0,586,526.674981
131.0,789,531.305515
64.0,401,533.646381
93.0,571,536.998244
50.0,323,538.943318
13.0,115,539.65423
65.0,408,542.16595
125.0,747,546.751427
2.0,50,547.083664
46.0,302,549.000647
12.0,107,549.656142
77.0,478,552.613193
14.0,117,553.351562
104.0,623,557.031303
7.0,74,557.461368
50.0,324,559.342414
143.0,855,564.390275
94.0,574,567.74542
102.0,612,571.336351
37.0,249,572.785374
70.0,433,575.33038
60.0,379,577.553039
70.0,437,580.137265
5.0,71,580.541728
16.0,131,581.314122
14.0,121,582.022295
43.0,287,583.69886
27.0,193,584.830504
46.0,302,586.777015
6.0,66,587.220675
7.0,74,587.728989
163.0,965,593.610939
43.0,285,595.410382
13.0,111,596.160873
46.0,302,598.155709
15.0,124,598.964475
24.0,168,599.993049
89.0,544,603.412767
50.0,324,605.430582
15.0,124,606.194902
42.0,283,607.911505
74.0,459,610.644621
26.0,188,611.91623
8.0,80,612.38394
52.0,336,614.339933
56.0,356,616.429099
87.0,532,619.489063
73.0,456,622.133726
66.0,415,624.546618
76.0,469,627.225703
281.0,1638,636.706687
19.0,152,637.630687
78.0,477,640.564571
54.0,347,642.766011
49.0,321,644.741614
122.0,733,649.222275
15.0,124,649.943904
20.0,155,650.840094
13.0,115,651.504445
-3.0,17,651.601391
198.0,1166,658.552654
26.0,185,659.837421
299.0,1737,670.157965
38.0,255,671.63284
92.0,564,674.939902
55.0,345,676.945297
189.0,1109,683.349634
12.0,104,683.991183
32.0,224,685.459088
14.0,118,686.174521
41.0,277,688.080256
13.0,113,688.846104
79.0,482,691.840847
179.0,1060,698.083086
19.0,141,698.917212
57.0,363,701.313624
199.0,1165,709.644437
44.0,290,711.572655
3.0,54,711.91985
243.0,1418,721.058921
3.0,56,721.385314
122.0,735,725.899236
45.0,296,727.707333
143.0,842,732.962996
136.0,819,738.038001
36.0,243,739.465836
8.0,80,739.956654
101.0,610,743.617077
6.0,73,744.057676
15.0,118,744.772414
81.0,502,747.705316
147.0,874,753.590898
4.0,65,754.054379
268.0,1556,763.484537
104.0,625,767.356627
146.0,866,772.597883
65.0,411,775.012418
41.0,274,776.619041
97.0,590,780.116128
