# {"t_start": 1561551522.752328, "env_id": "Catcher-v0"} 
r,l,t
-6.0,44,4.112899
-5.0,79,11.386401
-6.0,37,14.674371
-4.0,104,24.15875
-6.0,33,27.200087
-6.0,41,30.911568
-4.0,103,40.310688
-6.0,44,44.208177
-5.0,72,50.813248
-5.0,71,57.207343
-6.0,46,61.304676
-6.0,41,65.29054
-6.0,37,68.707664
-6.0,33,71.680056
-6.0,41,75.383424
-5.0,66,81.398318
-6.0,42,85.146238
-6.0,42,89.023825
-5.0,80,96.073926
-6.0,37,99.51472
-6.0,37,102.834761
-6.0,35,106.006832
-6.0,41,109.733949
-4.0,115,120.429642
