# {"t_start": 1561546099.7924676, "env_id": "citycopter-v0"} 
r,l,t
-5.0,6,0.567305
-1.0,30,2.462717
-5.0,9,2.941637
-5.0,9,3.668553
-4.0,12,4.648381
-5.0,8,5.188619
-5.0,9,5.903933
-4.0,12,6.860348
-4.0,11,7.750474
-5.0,6,8.211943
-5.0,7,8.756792
-4.0,10,9.509413
-5.0,7,10.133396
-5.0,7,10.660975
-2.0,23,12.396412
-4.0,15,13.42475
-2.0,23,14.833351
-2.0,22,16.329738
-1.0,31,18.299612
6.0,71,22.743746
-2.0,22,24.101748
-3.0,16,25.207682
-2.0,22,26.486982
-2.0,28,28.297919
-2.0,22,29.668635
-2.0,23,31.159683
4.0,57,34.675876
6.0,66,38.659614
